objectid,parentid,surname,title,creator,date,date_range,date_is_approximate?,publisher,description,subject,location,latitude,longitude,source,identifier,type,format,extension,language,rights,rightsstatement,display_template,object_location,image_small,image_thumb
louderbough_d2,,Louderbough,Group Sheets for Louderbough and Extended Family - 2,,1837,1837-1906,yes,,"Group sheets for Charles Ayers (Lara A. Williams), Samuel Willetts Ayers (Surrilda Ogle)",genealogy,"Meridian, Idaho",43.6094542,-116.3931117,"Meridian Library History Center, FC1",,Text,application/pdf,pdf,eng,,,pdf,/objects/col004_louderbough_d2.pdf,/objects/small/col004_louderbough_d2_sm.jpg,/objects/thumbs/col004_louderbough_d2_th.jpg
louderbough_d3,,Louderbough,Pedigree Chart for Milton Louderbough and John Howry Families,,1806,1806-1959,yes,,"Pedigree charts for Louderbough family, including Watson, Starr, Oakley, Job, Pollock, Ogle, Snyder and more.",genealogy,"Meridian, Idaho",43.6094542,-116.3931117,"Meridian Library History Center, FC1",,Text,application/pdf,pdf,eng,,,pdf,/objects/col004_louderbough_d3.pdf,/objects/small/col004_louderbough_d3_sm.jpg,/objects/thumbs/col004_louderbough_d3_th.jpg
louderbough_d4,,Louderbough,"1850, 1860, 1870, 1880 Census for Louderbough and Pollock Families",,1850,1850-1880,,,Census records for Louderbough and Pollock family members.,census,"Wapello, Iowa;Putnam, Missouri;Lincoln, Kansas",,,"Meridian Library History Center, FC1",,Text,application/pdf,pdf,eng,,,pdf,/objects/col004_louderbough_d4.pdf,/objects/small/col004_louderbough_d4_sm.jpg,/objects/thumbs/col004_louderbough_d4_th.jpg
louderbough_d5,,Louderbough,Genealogy Data for Sara C. and Milton Louderbough,,1850,1850-1880,yes,,Brief genealogy data for Sara C. and Milton Louderbough.,genealogy,"Meridian, Idaho",43.6094542,-116.3931117,"Meridian Library History Center, FC1",,Text,application/pdf,pdf,eng,,,pdf,/objects/col004_louderbough_d5.pdf,/objects/small/col004_louderbough_d5_sm.jpg,/objects/thumbs/col004_louderbough_d5_th.jpg
louderbough_d6,,Louderbough,Court Le Bois Award to S.J.Louderbough,,1950,yes,,,Award presented to S.J. Louderbough from the Independent Order of Foresters for twenty years of membership.,awards,"Meridian, Idaho",43.6094542,-116.3931117,"Meridian Library History Center, FC1",,Text,application/pdf,pdf,eng,,,pdf,/objects/col004_louderbough_d6.pdf,/objects/small/col004_louderbough_d6_sm.jpg,/objects/thumbs/col004_louderbough_d6_th.jpg
louderbough_d7,,Louderbough,Letter and Certificate from the Greater Idaho Corporation,,1972,,,,Letter from the Greater Idaho Corporation to their stockholders discussing stock certificates issued at an exchange rate of 1.5 shares of Greater Idaho for 1 share of Idaho Investment Corporation. A Greater Idaho Corporation stock certificate (to Sherman J. Louderbough) is also included.,letters,"Meridian, Idaho",43.6094542,-116.3931117,"Meridian Library History Center, FC1",,Text,application/pdf,pdf,eng,,,pdf,/objects/col004_louderbough_d7.pdf,/objects/small/col004_louderbough_d7_sm.jpg,/objects/thumbs/col004_louderbough_d7_th.jpg
louderbough_d8,,Louderbough,Letter from Greater Idaho Corporation to Stockholders,,1979-12-07,,,,Letter from the Greater Idaho Corporation to stockholders discussing change in company name (to 'Tiara Corporation'). The letter also includes a balance sheet and income/expense sheet.,letters,"Meridian, Idaho",43.6094542,-116.3931117,"Meridian Library History Center, FC1",,Text,application/pdf,pdf,eng,,,pdf,/objects/col004_louderbough_d8.pdf,/objects/small/col004_louderbough_d8_sm.jpg,/objects/thumbs/col004_louderbough_d8_th.jpg
louderbough_d9,,Louderbough,Order for Photocopies Concerning Veteran,,1969-12-06,,,,"Request for photocopies concerning  Civil War veteran Milton Louderbough. Milton enlisted February, 1864. He fought for the Union and was a member of Co. C, 12th Missouri Cavalry.",legal,"Meridian, Idaho",43.6094542,-116.3931117,"Meridian Library History Center, FC1",,Text,application/pdf,pdf,eng,,,pdf,/objects/col004_louderbough_d9.pdf,/objects/small/col004_louderbough_d9_sm.jpg,/objects/thumbs/col004_louderbough_d9_th.jpg
louderbough_d10,,Louderbough,Milton Louderbough's Volunteer Enlistment Records - Civil War,,1864-02-01,,,,Military documents detailing Milton Louderbough's enlistment and service in the 12th Regiment of the Missouri Cavalry. His term of service was three years.,legal;military,"Topeka, Kansas;Campbellsville, Tennessee",,,"Meridian Library History Center, FC1",,Text,application/pdf,pdf,eng,,,pdf,/objects/col004_louderbough_d10.pdf,/objects/small/col004_louderbough_d10_sm.jpg,/objects/thumbs/col004_louderbough_d10_th.jpg
louderbough_d11,,Louderbough,Declaration for Original Invalid Pension,,1885-08-14,1864-1885,yes,U.S. Pension Agency,Government paperwork filed by Milton Louderbough requesting an invalid pension based on the fact that he had been injured in the civil war by Black Scurvy. The condition settled into his eyes and affected his sight. Several affidavit's attest to his blindness.,legal;military,"Topeka, Kansas;Putnam, Missouri",,,"Meridian Library History Center, FC1",,Text,application/pdf,pdf,eng,,,pdf,/objects/col004_louderbough_d11.pdf,/objects/small/col004_louderbough_d11_sm.jpg,/objects/thumbs/col004_louderbough_d11_th.jpg
louderbough_d12,,Louderbough,Obituary for Sarah Louderbough (Howry),,1896,,,,Obituary of Sarah Louderbough (Howry). She is survived by ten of her twelve children.,obituaries,"Powersville, Missouri",,,"Meridian Library History Center, FC1",,Text,application/pdf,pdf,eng,,,pdf,/objects/col004_louderbough_d12.pdf,/objects/small/col004_louderbough_d12_sm.jpg,/objects/thumbs/col004_louderbough_d12_th.jpg
louderbough_d13,,Louderbough,Marriage License,,1838-08-07,,,,"A handwritten marriage License of Milton Louderbough and Ann Clark. They were married on August 7th, 1838 in Switzerland County, Indiana.",marriage licenses;legal,"Switzerland County, Indiana",,,"Meridian Library History Center, FC1",,Text,application/pdf,pdf,eng,,,pdf,/objects/col004_louderbough_d13.pdf,/objects/small/col004_louderbough_d13_sm.jpg,/objects/thumbs/col004_louderbough_d13_th.jpg
louderbough_d14,,Louderbough,Letter to Lila Hill from Elouise (Richardson) Ramsey,,1991-08-20,,,,"A hand-written letter to Lila Hill with some information on Ogle family members. There is also a photocopied image of Matthew Crawford (Oct., 5, 1805-Jan. 19, 1885). Mr. Crawford was the father of Sarah Louderbough.",letters,"Meridian, Idaho",43.6094542,-116.3931117,"Meridian Library History Center, FC1",,Text,application/pdf,pdf,eng,,,pdf,/objects/col004_louderbough_d14.pdf,/objects/small/col004_louderbough_d14_sm.jpg,/objects/thumbs/col004_louderbough_d14_th.jpg
louderbough_d15,,Louderbough,Letter to Sherman and Valerie from Leona,,1971-03-19,,,,"A handwritten letter with information about Louderbough extended family members. Discussion includes mention of the Ogle, Starr, Oakley, Watson and Louderbough families.",letters,"Muscatine, Iowa",,,"Meridian Library History Center, FC1",,Text,application/pdf,pdf,eng,,,pdf,/objects/col004_louderbough_d15.pdf,/objects/small/col004_louderbough_d15_sm.jpg,/objects/thumbs/col004_louderbough_d15_th.jpg
louderbough_d16,,Louderbough,Letter to Mr. and Mrs. S.J. Louderbough from Mrs. Harvey Snyder,,1971-02-19,,,,A handwritten letter with information about Louderbough extended family members. Writer is attempting to track down various family members.,letters,"Muscatine, Iowa",,,"Meridian Library History Center, FC1",,Text,application/pdf,pdf,eng,,,pdf,/objects/col004_louderbough_d16.pdf,/objects/small/col004_louderbough_d16_sm.jpg,/objects/thumbs/col004_louderbough_d16_th.jpg
louderbough_d17,,Louderbough,Photocopy Image of Milton and Sherman Louderbough,,1916,,yes,,Image of Milton Louderbough with his son (about 3 years old) Sherman.,men;children;barns,"Meridian, Idaho",43.6094542,-116.3931117,"Meridian Library History Center, FC1",,Text,application/pdf,pdf,eng,,,pdf,/objects/col004_louderbough_d17.pdf,/objects/small/col004_louderbough_d17_sm.jpg,/objects/thumbs/col004_louderbough_d17_th.jpg
louderbough_d18,,Louderbough,Birth Announcement for Dolores Elaine Louderbough,,1936-07-01,,,,"A card announcing the birth of Dolores Elaine Louderbough. She was born on July 1, 1936 to Zena and Sherman Louderbough.",children,"Meridian, Idaho",43.6094542,-116.3931117,"Meridian Library History Center, FC1",,Text,application/pdf,pdf,eng,,,pdf,/objects/col004_louderbough_d18.pdf,/objects/small/col004_louderbough_d18_sm.jpg,/objects/thumbs/col004_louderbough_d18_th.jpg
louderbough_d19,,Louderbough,Family Tree of Jacob Clemens,,1836,1836-1913,yes,,"Family tree beginning with Jacob Clemens. The tree includes many Meridian settler families. Among them are: Onwiler, Daly, Davidson and Clark.",genealogy,"Meridian, Idaho",43.6094542,-116.3931117,"Meridian Library History Center, FC1",,Text,application/pdf,pdf,eng,,,pdf,/objects/col004_louderbough_d19.pdf,/objects/small/col004_louderbough_d19_sm.jpg,/objects/thumbs/col004_louderbough_d19_th.jpg
louderbough_d20,,Louderbough,Promissory Notes from 1900 - 1934,,1900,1900-1934,,,A series of promissory notes for various Meridian local businesses.,legal;promissory notes;businesses,"Meridian, Idaho",43.6094542,-116.3931117,"Meridian Library History Center, FC1",,Text,application/pdf,pdf,eng,,,pdf,/objects/col004_louderbough_d20.pdf,/objects/small/col004_louderbough_d20_sm.jpg,/objects/thumbs/col004_louderbough_d20_th.jpg
louderbough_ph1,,Louderbough,Image of John and Sarah Louderbough,,1890,,yes,,Image of John and Sarah Louderbough in their golden years.,men;women,"Meridian, Idaho",43.6094542,-116.3931117,"Meridian Library History Center, FC1. Images stored in separate box.",,Image;StillImage,Image/jpeg,jpg,eng,,,image,/objects/col004_louderbough_ph1.jpg,/objects/small/col004_louderbough_ph1_sm.jpg,/objects/thumbs/col004_louderbough_ph1_th.jpg
louderbough_ph2,,Louderbough,Portrait of Mary Louderbough Ogle,,1880,,yes,,Portrait of Mary Louderbough Ogle,women;portraits,"Meridian, Idaho",43.6094542,-116.3931117,"Meridian Library History Center, FC1. Images stored in separate box.",,Image;StillImage,Image/jpeg,jpg,eng,,,image,/objects/col004_louderbough_ph2.jpg,/objects/small/col004_louderbough_ph2_sm.jpg,/objects/thumbs/col004_louderbough_ph2_th.jpg
louderbough_ph2.1,,Louderbough,Louderbough Hardware Store,,1910,,yes,,The Louderbough Hardware business. The business was located on Idaho Street in downtown Meridian.,businesses;automobiles,"Meridian, Idaho",43.6094542,-116.3931117,"Meridian Library History Center, Mayes-Gray Collection.",,Image;StillImage,Image/jpeg,jpg,eng,,,image,/objects/col004_louderbough_ph2.1.jpg,/objects/small/col004_louderbough_ph2.1_sm.jpg,/objects/thumbs/col004_louderbough_ph2.1_th.jpg
louderbough_ph3,,Louderbough,Image of Sherman Louderbough,,1970,,yes,,Image of Sherman Louderbough and unidentified male.,men;trucks,"Meridian, Idaho",43.6094542,-116.3931117,"Meridian Library History Center, FC1. Images stored in separate box.",,Image;StillImage,Image/jpeg,jpg,eng,,,image,/objects/col004_louderbough_ph3.jpg,/objects/small/col004_louderbough_ph3_sm.jpg,/objects/thumbs/col004_louderbough_ph3_th.jpg
louderbough_ph4,,Louderbough,Image of Rebecca H. Louderbough,,1944-12-25,,,,Christmas day image of Rebecca Louderbough in her Meridian home.,women,"Meridian, Idaho",43.6094542,-116.3931117,"Meridian Library History Center, FC1. Images stored in separate box.",,Image;StillImage,Image/jpeg,jpg,eng,,,image,/objects/col004_louderbough_ph4.jpg,/objects/small/col004_louderbough_ph4_sm.jpg,/objects/thumbs/col004_louderbough_ph4_th.jpg
louderbough_ph5,,Louderbough,Image of Milton Louderbough,,1944-12-25,,,,Christmas day image of Milton Louderbough in his Meridian home.,men,"Meridian, Idaho",43.6094542,-116.3931117,"Meridian Library History Center, FC1. Images stored in separate box.",,Image;StillImage,Image/jpeg,jpg,eng,,,image,/objects/col004_louderbough_ph5.jpg,/objects/small/col004_louderbough_ph5_sm.jpg,/objects/thumbs/col004_louderbough_ph5_th.jpg
louderbough_ph6,,Louderbough,G. Davidson and Katherine Louderbough,,1940,,yes,,Image showing G (George?) Davidson and Katherine Louderbough standing on the grass in front of an automobile.,men;women;automobiles,"Meridian, Idaho",43.6094542,-116.3931117,"Meridian Library History Center, FC1. Images stored in separate box.",,Image;StillImage,Image/jpeg,jpg,eng,,,image,/objects/col004_louderbough_ph6.jpg,/objects/small/col004_louderbough_ph6_sm.jpg,/objects/thumbs/col004_louderbough_ph6_th.jpg
louderbough_ph7,,Louderbough,Three Generations of Louderboughs,,1948-10-24,,,,"Dolores Elaine (about 11), Milton and Sherman Louderbough stand in front of a home.",children;men;houses,"Meridian, Idaho",43.6094542,-116.3931117,"Meridian Library History Center, FC1. Images stored in separate box.",,Image;StillImage,Image/jpeg,jpg,eng,,,image,/objects/col004_louderbough_ph7.jpg,/objects/small/col004_louderbough_ph7_sm.jpg,/objects/thumbs/col004_louderbough_ph7_th.jpg
louderbough_ph8,,Louderbough,Sherman and Zina Louderbough,,1950,,yes,,"Sherman and Zena Louderbough (dressed in period clothing) stand in front of their prized automobile. The sign on the car reads ""Horseless Carriage Club - Caravan."" The car appears to be a Ford - T.",men;women;automobiles,"Meridian, Idaho",43.6094542,-116.3931117,"Meridian Library History Center, FC1. Images stored in separate box.",,Image;StillImage,Image/jpeg,jpg,eng,,,image,/objects/col004_louderbough_ph8.jpg,/objects/small/col004_louderbough_ph8_sm.jpg,/objects/thumbs/col004_louderbough_ph8_th.jpg
louderbough_ph9,,Louderbough,Sherman Louderbough,,1953-11-23,,,,Sherman Louderbough stands in front of a Case 30 HP engine.,men;women;thrashers,"Meridian, Idaho",43.6094542,-116.3931117,"Meridian Library History Center, FC1. Images stored in separate box.",,Image;StillImage,Image/jpeg,jpg,eng,,,image,/objects/col004_louderbough_ph9.jpg,/objects/small/col004_louderbough_ph9_sm.jpg,/objects/thumbs/col004_louderbough_ph9_th.jpg
louderbough_ph10,,Louderbough,Many Generations of the Louderbough Family,,1947,,,,The image shows nine members of the Louderbough/Hazen family. Dolores (about 10) is shown second from right.,men;women;children,"Meridian, Idaho",43.6094542,-116.3931117,"Meridian Library History Center, FC1. Images stored in separate box.",,Image;StillImage,Image/jpeg,jpg,eng,,,image,/objects/col004_louderbough_ph10.jpg,/objects/small/col004_louderbough_ph10_sm.jpg,/objects/thumbs/col004_louderbough_ph10_th.jpg
louderbough_ph11,,Louderbough,The Louderbough Family Home,,1930,,yes,,"Several members of the Louderbough family work on their home. Two members re-shingle the roof, while a woman stands by. The home is located South of the tracks on Main St., Meridian.",men;women;automobiles,"Meridian, Idaho",43.6094542,-116.3931117,"Meridian Library History Center, FC1. Images stored in separate box.",,Image;StillImage,Image/jpeg,jpg,eng,,,image,/objects/col004_louderbough_ph11.jpg,/objects/small/col004_louderbough_ph11_sm.jpg,/objects/thumbs/col004_louderbough_ph11_th.jpg
louderbough_ph12,,Louderbough,Sherman Louderbough and his Tractor,,1954,,,,Sherman Louderbough stands in front of the 1911 engine that has been fitted with an advertising banner for the family hardware store.,men;thrashers,"Meridian, Idaho",43.6094542,-116.3931117,"Meridian Library History Center, FC1. Images stored in separate box.",,Image;StillImage,Image/jpeg,jpg,eng,,,image,/objects/col004_louderbough_ph12.jpg,/objects/small/col004_louderbough_ph12_sm.jpg,/objects/thumbs/col004_louderbough_ph12_th.jpg
louderbough_ph13,,Louderbough,Case 30 HP Engine,,1950,,yes,,Unknown man stands near automobile with the Case 30 HP engine in the foreground.,men;thrashers;automobiles,"Meridian, Idaho",43.6094542,-116.3931117,"Meridian Library History Center, FC1. Images stored in separate box.",,Image;StillImage,Image/jpeg,jpg,eng,,,image,/objects/col004_louderbough_ph13.jpg,/objects/small/col004_louderbough_ph13_sm.jpg,/objects/thumbs/col004_louderbough_ph13_th.jpg
louderbough_ph14,,Louderbough,Russell Hand-Feed Separator,,1950,,yes,,Image is of an antique Russell hand-feel separator machine.,hand-feed separators,"Meridian, Idaho",43.6094542,-116.3931117,"Meridian Library History Center, FC1. Images stored in separate box.",,Image;StillImage,Image/jpeg,jpg,eng,,,image,/objects/col004_louderbough_ph14.jpg,/objects/small/col004_louderbough_ph14_sm.jpg,/objects/thumbs/col004_louderbough_ph14_th.jpg
louderbough_ph15,,Louderbough,"Antique Engine with ""Louderbough Hardware"" Insignia",,1960-04,,yes,,"Image is of an antique engine with ""Louderbough Hardware - Meridian, Idaho"" painted on the side. A 1940-1950 automobile is partially shown in the background.",thrashers;automobiles,"Meridian, Idaho",43.6094542,-116.3931117,"Meridian Library History Center, FC1. Images stored in separate box.",,Image;StillImage,Image/jpeg,jpg,eng,,,image,/objects/col004_louderbough_ph15.jpg,/objects/small/col004_louderbough_ph15_sm.jpg,/objects/thumbs/col004_louderbough_ph15_th.jpg
louderbough_ph16,,Louderbough,1936 Fourth of July Parade - Soldiers and Band,,1936-07-04,,,,Soldiers carrying an American flag march along the parade route in front of a band.,parades;bands,"Meridian, Idaho",43.6094542,-116.3931117,"Meridian Library History Center, FC1. Images stored in separate box.",,Image;StillImage,Image/jpeg,jpg,eng,,,image,/objects/col004_louderbough_ph16.jpg,/objects/small/col004_louderbough_ph16_sm.jpg,/objects/thumbs/col004_louderbough_ph16_th.jpg
louderbough_ph17,,Louderbough,1936 Fourth of July Parade - American Legion Float,,1936-07-04,,,,Soldiers carry out a mock-battle scene on the American Legion float.,parades;floats,"Meridian, Idaho",43.6094542,-116.3931117,"Meridian Library History Center, FC1. Images stored in separate box.",,Image;StillImage,Image/jpeg,jpg,eng,,,image,/objects/col004_louderbough_ph17.jpg,/objects/small/col004_louderbough_ph17_sm.jpg,/objects/thumbs/col004_louderbough_ph17_th.jpg
louderbough_ph18,,Louderbough,1936 Fourth of July Parade - Man in Suit,,1936-07-04,,,,Man in suit rides atop a float adorned with flowers. A woman and two children dressed in white accompany him on the float.,parades;floats,"Meridian, Idaho",43.6094542,-116.3931117,"Meridian Library History Center, FC1. Images stored in separate box.",,Image;StillImage,Image/jpeg,jpg,eng,,,image,/objects/col004_louderbough_ph18.jpg,/objects/small/col004_louderbough_ph18_sm.jpg,/objects/thumbs/col004_louderbough_ph18_th.jpg
louderbough_ph19,,Louderbough,1912 Buick owned by Sherman Louderbough,,1966-06-14,,,,"Beautifully restored 1912 Buick owned by Sherman Louderbough. Photo was taken in Idaho City on June 14, 1966. A woman dressed in period clothing is shown in the background.",automobiles;women,"Meridian, Idaho",43.6094542,-116.3931117,"Meridian Library History Center, FC1. Images stored in separate box.",,Image;StillImage,Image/jpeg,jpg,eng,,,image,/objects/col004_louderbough_ph19.jpg,/objects/small/col004_louderbough_ph19_sm.jpg,/objects/thumbs/col004_louderbough_ph19_th.jpg
louderbough_ph20,,Louderbough,Sarah Louderbough and Company,,1880,,yes,,Sarah Louderbough stands next to a home. An unknown gentleman stands beside her.,houses;men;women,"Meridian, Idaho",43.6094542,-116.3931117,"Meridian Library History Center, FC1. Images stored in separate box.",,Image;StillImage,Image/jpeg,jpg,eng,,,image,/objects/col004_louderbough_ph20.jpg,/objects/small/col004_louderbough_ph20_sm.jpg,/objects/thumbs/col004_louderbough_ph20_th.jpg
louderbough_ph21,,Louderbough,Thrashing Operation in Full Swing,,1900,,yes,,Two members of the Louderbough family (presumably) stand in front the of thrasher while five men work in the background,houses;men;women,"Meridian, Idaho",43.6094542,-116.3931117,"Meridian Library History Center, FC1. Images stored in separate box.",,Image;StillImage,Image/jpeg,jpg,eng,,,image,/objects/col004_louderbough_ph21.jpg,/objects/small/col004_louderbough_ph21_sm.jpg,/objects/thumbs/col004_louderbough_ph21_th.jpg
louderbough_ph22,,Louderbough,Zina and Sherman Louderbough - Dairy Days Parade,,1957,,,,Zena and Sherman Louderbough drive their Ford Model T in the 1957 Dairy Days parade. They are dressed in period clothing and the car is adorned with a signed advertising the hardware store. The Meridian Times building can be seen in the background.,parades;men;women;dairy days,"Meridian, Idaho",43.6094542,-116.3931117,"Meridian Library History Center, FC1. Images stored in separate box.",,Image;StillImage,Image/jpeg,jpg,eng,,,image,/objects/col004_louderbough_ph22.jpg,/objects/small/col004_louderbough_ph22_sm.jpg,/objects/thumbs/col004_louderbough_ph22_th.jpg
louderbough_ph23,,Louderbough,Milton and Rebecca (Hazen) Louderbough,,1947,,yes,,Milton and Rebecca (Hazen) Louderbough happily smile for the camera.,men;women,"Meridian, Idaho",43.6094542,-116.3931117,"Meridian Library History Center, FC1. Images stored in separate box.",,Image;StillImage,Image/jpeg,jpg,eng,,,image,/objects/col004_louderbough_ph23.jpg,/objects/small/col004_louderbough_ph23_sm.jpg,/objects/thumbs/col004_louderbough_ph23_th.jpg
louderbough_ph24,,Louderbough,1924 3rd Grade Classroom,,1924,,,,Sherman Louderbough can be seen third from left in the 1924 3rd grade classroom photo.,children;schools,"Meridian, Idaho",43.6094542,-116.3931117,"Meridian Library History Center, FC1. Images stored in separate box.",,Image;StillImage,Image/jpeg,jpg,eng,,,image,/objects/col004_louderbough_ph24.jpg,/objects/small/col004_louderbough_ph24_sm.jpg,/objects/thumbs/col004_louderbough_ph24_th.jpg
louderbough_ph25,,Louderbough,The Louderbough Hardware Store,,1900,,yes,,"Two gentlemen at the Louderbough Hardware store, dressed in suits.",men;businesses,"Meridian, Idaho",43.6094542,-116.3931117,"Meridian Library History Center, FC1. Images stored in separate box.",,Image;StillImage,Image/jpeg,jpg,eng,,,image,/objects/col004_louderbough_ph25.jpg,/objects/small/col004_louderbough_ph25_sm.jpg,/objects/thumbs/col004_louderbough_ph25_th.jpg
